Statename,StateID,Count,Site,Year,Survey,Species,ManagementZone,Population
MT,4,0,1,2002,1,SG,Management Zone I,Phillips County
MT,4,0,1,2003,1,SG,Management Zone I,Phillips County
MT,4,0,1,2004,1,SG,Management Zone I,Phillips County
MT,4,0,1,2005,1,SG,Management Zone I,Phillips County
MT,4,0,1,2007,1,SG,Management Zone I,Phillips County
MT,4,0,1,2007,2,SG,Management Zone I,Phillips County
MT,4,0,1,2008,1,SG,Management Zone I,Phillips County
MT,4,0,1,2011,1,SG,Management Zone I,Phillips County
MT,4,0,1,2011,2,SG,Management Zone I,Phillips County
MT,4,0,2,2002,1,SG,Management Zone I,Phillips County
MT,4,22,2,2002,3,SG,Management Zone I,Phillips County
MT,4,27,2,2002,4,SG,Management Zone I,Phillips County
MT,4,17,2,2002,2,SG,Management Zone I,Phillips County
MT,4,0,2,2003,1,SG,Management Zone I,Phillips County
MT,4,20,2,2003,2,SG,Management Zone I,Phillips County
MT,4,12,2,2003,3,SG,Management Zone I,Phillips County
MT,4,31,2,2003,4,SG,Management Zone I,Phillips County
MT,4,4,2,2004,2,SG,Management Zone I,Phillips County
MT,4,0,2,2004,4,SG,Management Zone I,Phillips County
MT,4,38,2,2004,1,SG,Management Zone I,Phillips County
MT,4,49,2,2004,3,SG,Management Zone I,Phillips County
MT,4,37,2,2005,1,SG,Management Zone I,Phillips County
MT,4,8,2,2006,1,SG,Management Zone I,Phillips County
MT,4,32,2,2006,2,SG,Management Zone I,Phillips County
MT,4,31,2,2006,3,SG,Management Zone I,Phillips County
MT,4,31,2,2006,4,SG,Management Zone I,Phillips County
MT,4,0,2,2007,1,SG,Management Zone I,Phillips County
MT,4,30,2,2007,2,SG,Management Zone I,Phillips County
MT,4,21,2,2007,3,SG,Management Zone I,Phillips County
MT,4,0,2,2007,4,SG,Management Zone I,Phillips County
MT,4,14,2,2007,5,SG,Management Zone I,Phillips County
MT,4,22,2,2008,1,SG,Management Zone I,Phillips County
MT,4,22,2,2008,2,SG,Management Zone I,Phillips County
MT,4,21,2,2008,3,SG,Management Zone I,Phillips County
MT,4,21,2,2009,1,SG,Management Zone I,Phillips County
MT,4,0,2,2009,2,SG,Management Zone I,Phillips County
MT,4,11,2,2011,1,SG,Management Zone I,Phillips County
MT,4,13,2,2011,2,SG,Management Zone I,Phillips County
MT,4,4,2,2011,3,SG,Management Zone I,Phillips County
MT,4,11,2,2012,1,SG,Management Zone I,Phillips County
MT,4,10,2,2012,2,SG,Management Zone I,Phillips County
MT,4,0,2,2012,3,SG,Management Zone I,Phillips County
MT,4,4,2,2014,2,SG,Management Zone I,Phillips County
MT,4,13,2,2014,4,SG,Management Zone I,Phillips County
MT,4,0,2,2014,1,SG,Management Zone I,Phillips County
MT,4,13,2,2014,3,SG,Management Zone I,Phillips County
MT,4,5,3,2002,1,SG,Management Zone I,Phillips County
MT,4,33,3,2002,3,SG,Management Zone I,Phillips County
MT,4,30,3,2002,4,SG,Management Zone I,Phillips County
MT,4,28,3,2002,2,SG,Management Zone I,Phillips County
