GMU_PMU_ID,Area,AreaID,SampleAreaType,SortKey,GameID,Dates,Active
1,1,172,GMU,1,,,TRUE
16,2,173,GMU,2,,,TRUE
29,3,174,GMU,3,,,TRUE
45,4,175,GMU,4,,,TRUE
56,4A,176,GMU,5,,,TRUE
57,5,177,GMU,6,,,TRUE
71,6,178,GMU,7,,,TRUE
72,"6,7",1222,Trend Area,8,,,FALSE
88,7,179,GMU,9,,,TRUE
99,8,180,GMU,10,,,TRUE
100,8A,181,GMU,11,,,TRUE
101,9,182,GMU,12,,,TRUE
102,9A,1225,GMU,13,,,TRUE
2,10,183,GMU,14,,,TRUE
3,10A,184,GMU,15,,,TRUE
4,11,185,GMU,16,,,TRUE
5,11A,186,GMU,17,,,TRUE
6,12,187,GMU,18,,,TRUE
7,13,188,GMU,19,,,TRUE
118,"13,14,18",1219,Trend Area,20,,,FALSE
8,14,189,GMU,21,,,TRUE
9,15,190,GMU,22,,,TRUE
10,16,191,GMU,23,,,TRUE
11,16A,192,GMU,24,,,TRUE
12,17,193,GMU,25,,,TRUE
13,18,194,GMU,26,,,TRUE
14,19,195,GMU,27,,,TRUE
15,19A,196,GMU,28,,,TRUE
17,20,197,GMU,29,,,TRUE
18,20A,198,GMU,30,,,TRUE
19,21,199,GMU,31,,,TRUE
20,21A,200,GMU,32,,,TRUE
21,22,201,GMU,33,,,TRUE
22,23,202,GMU,34,,,TRUE
23,24,203,GMU,35,,,TRUE
24,25,204,GMU,36,,,TRUE
25,26,205,GMU,37,,,TRUE
26,27,206,GMU,38,,,TRUE
27,28,207,GMU,39,,,TRUE
28,29,208,GMU,40,,,TRUE
134,"29,37A",91,GMU,41,,,FALSE
30,30,209,GMU,42,,,TRUE
31,30A,210,GMU,43,,,TRUE
119,"30,30A",395,GMU,44,,,FALSE
32,31,211,GMU,45,,,TRUE
33,32,212,GMU,46,,,TRUE
34,32A,213,GMU,47,,,TRUE
120,"32,32A",145,GMU,48,,,FALSE
35,33,214,GMU,49,,,TRUE
121,"33,35",1220,GMU,50,,,FALSE
36,34,215,GMU,51,,,TRUE
37,35,216,GMU,52,,,TRUE
38,36,217,GMU,53,,,TRUE
39,36A,218,GMU,54,,,TRUE
40,36B,219,GMU,55,,,TRUE
41,37,220,GMU,56,,,TRUE
42,37A,221,GMU,57,,,TRUE
43,38,222,GMU,58,,,TRUE
44,39,223,GMU,59,,,TRUE
46,40,224,GMU,60,,,TRUE
47,41,225,GMU,61,,,TRUE
48,42,226,GMU,62,,,TRUE
49,43,227,GMU,63,,,TRUE
50,44,228,GMU,64,,,TRUE
51,45,229,GMU,65,,,TRUE
52,46,230,GMU,66,,,TRUE
53,47,231,GMU,67,,,TRUE
54,48,232,GMU,68,,,TRUE
55,49,233,GMU,69,,,TRUE
58,50,234,GMU,70,,,TRUE
59,51,235,GMU,71,,,TRUE
60,52,236,GMU,72,,,TRUE
61,52A,237,GMU,73,,,TRUE
62,53,238,GMU,74,,,TRUE
63,54,239,GMU,75,,,TRUE
122,54Dry Creek,239,Trend Area,76,,,FALSE
123,54Sugarloaf,239,Trend Area,77,,,FALSE
64,55,240,GMU,78,,,TRUE
124,55Jim Sage,240,Trend Area,79,,,FALSE
65,56,241,GMU,80,,,TRUE
